sample_id,category,sample_folder,original_image,multiview_design,atomic_rules,human_decision,issue_type,notes
2873444,head_key_chain,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\2873444,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\2873444\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\2873444\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\2873444\atomic_rules.json,,,
3182879,head_key_chain,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182879,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182879\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182879\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182879\atomic_rules.json,,,
3182884,head_key_chain,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182884,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182884\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182884\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3182884\atomic_rules.json,,,
3408800,head_key_chain,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3408800,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3408800\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3408800\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\head_key_chain\3408800\atomic_rules.json,,,
2807649,backpack,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2807649,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2807649\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2807649\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2807649\atomic_rules.json,,,
2812503,backpack,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2812503,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2812503\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2812503\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\2812503\atomic_rules.json,,,
3442502,backpack,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3442502,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3442502\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3442502\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3442502\atomic_rules.json,,,
3468461,backpack,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3468461,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3468461\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3468461\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\backpack\3468461\atomic_rules.json,,,
3084017,cake_roll,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3084017,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3084017\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3084017\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3084017\atomic_rules.json,,,
3182913,cake_roll,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3182913,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3182913\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3182913\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3182913\atomic_rules.json,,,
3206137,cake_roll,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3206137,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3206137\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3206137\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3206137\atomic_rules.json,,,
3543402,cake_roll,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3543402,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3543402\2d_original.jpg,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3543402\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\cake_roll\3543402\atomic_rules.json,,,
2180426,plush,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180426,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180426\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180426\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180426\atomic_rules.json,,,
2180430,plush,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180430,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180430\2d_original.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180430\multiview_design.png,D:\索尼实习\vlm\data\safebooru_2d\japanese_anime_turnaround_pilot_20\multi_view试标数据集\plush\2180430\atomic_rules.json,,,
